"   Full Name             ","Short Name","FSF Free?","GPLv2 Compat?","GPLv3 Compat?","Upstream URL ",
"3dfx Glide License             ","   Glide        ","   Yes         ","NO           ","NO           ","<a href=""http://www.users.on.net/%7Etriforce/glidexp/COPYING.txt"" class=""external free"">http://www.users.on.net/~triforce/glidexp/COPYING.txt</a> ",
"4Suite Copyright License       ","   ASL 1.1      ","   Yes         ","NO           ","NO           ","<a href=""http://4suite.org/COPYRIGHT"" class=""external free"">http://4suite.org/COPYRIGHT</a> ",
"Abstyles License               ","   Abstyles     ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Abstyles"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Abstyles</a> ",
"Academic Free License          ","   AFL          ","   Yes         ","NO           ","NO           ","<a href=""http://opensource.org/licenses/afl-3.0.php"" class=""external free"">http://opensource.org/licenses/afl-3.0.php</a> ",
"Academy of Motion Picture Arts and Sciences BSD ","AMPAS BSD"," Yes ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BSD#AMPASBSD</a> ",
"Adobe Systems Incorporated Source Code License Agreement"," Adobe  "," Yes "," Yes         ","Yes             ","<a href=""https://fedoraproject.org/wiki/Licensing/AdobeLicense"" class=""external free"">https://fedoraproject.org/wiki/Licensing/AdobeLicense</a> ",
"Adobe Postscript AFM License   ","   APAFML       ","   Yes         "," Yes               ","Yes     ","<a href=""https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM"" class=""external free"">https://fedoraproject.org/wiki/Licensing/AdobePostscriptAFM</a> ",
"Adobe Glyph List License       ","   MIT          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph"" class=""external free"">https://fedoraproject.org/wiki/Licensing/MIT#AdobeGlyph</a> ",
"Affero General Public License 1.0","   AGPLv1   ","   Yes         ","NO           ","                   ","<a href=""http://www.affero.org/oagpl.html"" class=""external free"">http://www.affero.org/oagpl.html</a> ",
"Affero General Public License 3.0","   AGPLv3     ","   Yes         ","NO           ","<a href=""http://www.fsf.org/licensing/licenses/gpl-faq.html#v3Notwithstanding"" class=""external text"">Sortof</a>            ","<a href=""http://www.fsf.org/licensing/licenses/agpl-3.0.html"" class=""external free"">http://www.fsf.org/licensing/licenses/agpl-3.0.html</a> ",
"Affero General Public License 3.0 or later","  AGPLv3+ "," Yes      ","NO           ","<a href=""http://www.fsf.org/licensing/licenses/gpl-faq.html#v3Notwithstanding"" class=""external text"">Sortof</a>            ","<a href=""http://www.fsf.org/licensing/licenses/agpl-3.0.html"" class=""external free"">http://www.fsf.org/licensing/licenses/agpl-3.0.html</a> ",
"Affero General Public License 3.0 with Zarafa trademark exceptions ","  AGPLv3 with exceptions "," Yes ","NO"," <a href=""http://www.fsf.org/licensing/licenses/gpl-faq.html#v3Notwithstanding"" class=""external text"">Sortof</a>            ","<a href=""http://www.zarafa.com/content/affero-gplv3"" class=""external free"">http://www.zarafa.com/content/affero-gplv3</a> ",
"Afmparse License               ","   Afmparse     ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Afmparse"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Afmparse</a> ",
"Amazon Digital Services License","   ADSL         ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense"" class=""external free"">https://fedoraproject.org/wiki/Licensing/AmazonDigitalServicesLicense</a> ",
"AMD's plpa_map.c License       ","   AMDPLPA      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/AMD_plpa_map_License</a> ",
"Apache Software License 1.0    ","   ASL 1.0      ","   Yes         ","NO           ","NO           ","<a href=""http://www.apache.org/licenses/LICENSE-1.0"" class=""external free"">http://www.apache.org/licenses/LICENSE-1.0</a> ",
"Apache Software License 1.1    ","   ASL 1.1      ","   Yes         ","NO           ","NO           ","<a href=""http://www.apache.org/licenses/LICENSE-1.1"" class=""external free"">http://www.apache.org/licenses/LICENSE-1.1</a> ",
"Apache Software License 2.0    ","   ASL 2.0      ","   Yes         ","NO           ","Yes                ","<a href=""http://www.apache.org/licenses/LICENSE-2.0"" class=""external free"">http://www.apache.org/licenses/LICENSE-2.0</a> ",
"App::s2p License               ","   App-s2p      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/App-s2p"" class=""external free"">https://fedoraproject.org/wiki/Licensing/App-s2p</a> ",
"Apple MIT License "," AML "," Yes "," Yes "," Yes "," <a href=""https://fedoraproject.org/wiki/Licensing/Apple_MIT_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Apple_MIT_License</a> ",
"Apple Public Source License 2.0","   APSL 2.0     ","   Yes         ","NO           ","                   ","<a href=""http://www.opensource.apple.com/apsl/2.0.txt"" class=""external free"">http://www.opensource.apple.com/apsl/2.0.txt</a> ",
"Artistic (clarified)           ","   Artistic clarified","   Yes    ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/ArtisticClarified"" class=""external free"">https://fedoraproject.org/wiki/Licensing/ArtisticClarified</a> ",
"Artistic 2.0                   ","   Artistic 2.0 ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.perlfoundation.org/artistic_license_2_0"" class=""external free"">http://www.perlfoundation.org/artistic_license_2_0</a> ",
"Aspell-ru License              ","   ARL          ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/AspellRu"" class=""external free"">https://fedoraproject.org/wiki/Licensing/AspellRu</a> ",
"Attribution Assurance License  ","   AAL          ","   Yes         ","NO           ","NO           ","<a href=""http://opensource.org/licenses/attribution.php"" class=""external free"">http://opensource.org/licenses/attribution.php</a> ",
"Bahyph License                 ","   Bahyph       ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Bahyph"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Bahyph</a> ",
"Barr License                   ","   Barr         ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Barr"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Barr</a> ",
"Beerware License               ","   Beerware "," Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Beerware"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Beerware</a> ",
"BeOpen Open Source License Agreement Version 1 "," BeOpen "," Yes   ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/BeOpen"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BeOpen</a> ",
"Bibtex License                 ","   Bibtex       ","   Yes (but only for tex)","NO ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Bibtex"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Bibtex</a> ",
"BitTorrent License             ","   BitTorrent   ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/BitTorrent_Open_Source_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BitTorrent_Open_Source_License</a> ",
"Boost Software License         ","   Boost        ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.boost.org/LICENSE_1_0.txt"" class=""external free"">http://www.boost.org/LICENSE_1_0.txt</a> ",
"Borceux license                ","   Borceux      ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Borceux"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Borceux</a> ",
"BSD License (original)         ","   BSD with advertising"," Yes    ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/BSD#BSDwithAdvertising"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BSD#BSDwithAdvertising</a> ",
"BSD with attribution           ","   BSD with attribution"," Yes    ","                   ","                   ","<a href=""https://fedoraproject.org/wiki/Licensing/BSD_with_Attribution"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BSD_with_Attribution</a> ",
"BSD License (no advertising)   ","   BSD          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/BSD#3ClauseBSD"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BSD#3ClauseBSD</a> ",
"BSD License (two clause)       ","   BSD          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/BSD#2ClauseBSD"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BSD#2ClauseBSD</a> ",
"BSD Protection License         ","   BSD Protection ","  Yes        ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/BSD_Protection_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/BSD_Protection_License</a> ",
"Computer Associates Trusted Open Source License 1.1"," CATOSL "," Yes","NO          ","NO           ","<a href=""http://opensource.org/licenses/ca-tosl1.1.php"" class=""external free"">http://opensource.org/licenses/ca-tosl1.1.php</a> ",
"CeCILL License v1.1            ","   CeCILL       ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.html"" class=""external free"">http://www.cecill.info/licences/Licence_CeCILL_V1.1-US.html</a> ",
"CeCILL License v2              ","   CeCILL       ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.cecill.info/licences.en.html"" class=""external free"">http://www.cecill.info/licences.en.html</a> ",
"CeCILL-B License               ","   CeCILL-B     ","   Yes         ","NO           ","NO           ","<a href=""http://www.cecill.info/licences.en.html"" class=""external free"">http://www.cecill.info/licences.en.html</a> ",
"CeCILL-C License               ","   CeCILL-C     ","   Yes         ","NO           ","NO           ","<a href=""http://www.cecill.info/licences.en.html"" class=""external free"">http://www.cecill.info/licences.en.html</a> ",
"Celtx Public License (CePL)    ","   Netscape     ","   Yes         ","NO           ","NO           ","<a href=""http://www.celtx.com/CePL/"" class=""external free"">http://www.celtx.com/CePL/</a> ",
"CMU License (BSD like)         ","   MIT          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/MIT"" class=""external free"">https://fedoraproject.org/wiki/Licensing/MIT</a> ",
"CNRI License (Old Python)      ","   CNRI         ","   Yes         ","NO           ","NO           ","<a href=""http://www.handle.net/python_licenses/python1.6_9-5-00.html"" class=""external free"">http://www.handle.net/python_licenses/python1.6_9-5-00.html</a> ",
"Common Development Distribution License "," CDDL  ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/CDDL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/CDDL</a> ",
"Common Public License          ","   CPL          ","   Yes         ","NO           ","NO           ","<a href=""http://www.eclipse.org/legal/cpl-v10.html"" class=""external free"">http://www.eclipse.org/legal/cpl-v10.html</a> ",
"Condor Public License          ","   Condor       ","   Yes         ","NO           ","                   ","<a href=""http://www.cs.wisc.edu/condor/condor-public-license.html"" class=""external free"">http://www.cs.wisc.edu/condor/condor-public-license.html</a> ",
"Copyright Attribution Only     ","   Copyright only","  Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/CopyrightOnly"" class=""external free"">https://fedoraproject.org/wiki/Licensing/CopyrightOnly</a> ",
"CPAL License 1.0               ","   CPAL         ","   Yes         ","NO           ","NO           ","<a href=""https://www.socialtext.net/open/index.cgi?cpal_license_in_wikitext"" class=""external free"">https://www.socialtext.net/open/index.cgi?cpal_license_in_wikitext</a> ",
"CRC32 License                  ","   CRC32        ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/CRC32"" class=""external free"">https://fedoraproject.org/wiki/Licensing/CRC32</a> ",
"Creative Commons BSD           ","   BSD          ","   Yes         ","Yes                ","Yes                ","<a href=""http://creativecommons.org/licenses/BSD/"" class=""external free"">http://creativecommons.org/licenses/BSD/</a> ",
"Creative Commons GNU GPL       ","   GPLv2+       ","   Yes         ","N/A                "," <a class=""mw-redirect"" title=""Licensing"" href=""https://fedoraproject.org/wiki/Licensing#GPLCompatibilityMatrix"">See Matrix</a> ","<a href=""http://creativecommons.org/choose/cc-gpl"" class=""external free"">http://creativecommons.org/choose/cc-gpl</a> ",
"Creative Commons GNU LGPL      ","   LGPLv2+      ","   Yes         ","<a class=""mw-redirect"" title=""Licensing"" href=""https://fedoraproject.org/wiki/Licensing#GPLCompatibilityMatrix"">See Matrix</a> "," <a class=""mw-redirect"" title=""Licensing"" href=""https://fedoraproject.org/wiki/Licensing#GPLCompatibilityMatrix"">See Matrix</a> "," <a href=""http://creativecommons.org/choose/cc-lgpl"" class=""external free"">http://creativecommons.org/choose/cc-lgpl</a> ",
"Creative Commons Zero 1.0 Universal "," CC0       ","   Yes         ","Yes                ","Yes                ","<a href=""http://creativecommons.org/publicdomain/zero/1.0/legalcode"" class=""external free"">http://creativecommons.org/publicdomain/zero/1.0/legalcode</a> ",
"Crossword License              ","   Crossword    ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/Crossword"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Crossword</a> ",
"Cryptix General License        ","   BSD          ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.cryptix.org/LICENSE.TXT"" class=""external free"">http://www.cryptix.org/LICENSE.TXT</a> ",
"Crystal Stacker License        ","   Crystal Stacker"," Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/CrystalStacker"" class=""external free"">https://fedoraproject.org/wiki/Licensing/CrystalStacker</a> ",
"CUA Office Public License Version 1.0 "," MPLv1.1 ","   Yes         ","Compatible if dual licensed with GPL, otherwise Incompatible"," ","<a href=""http://opensource.org/licenses/cuaoffice.php"" class=""external free"">http://opensource.org/licenses/cuaoffice.php</a> ",
"Cube License                   ","   Cube         ","   Yes         ","No                 ","No                 ","<a href=""https://fedoraproject.org/wiki/Licensing/Cube"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Cube</a> ",
"diffmark license               ","   diffmark     ","   Yes         ","Yes                ","Yes "," <a href=""https://fedoraproject.org/wiki/Licensing/diffmark"" class=""external free"">https://fedoraproject.org/wiki/Licensing/diffmark</a> ",
"Do What The F*ck You Want To Public License"," WTFPL "," Yes        ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/WTFPL"" class=""external free"">https://fedoraproject.org/wiki/Licensing/WTFPL</a> ",
"DOC License                    ","   DOC          ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.cs.wustl.edu/%7Eschmidt/ACE-copying.html"" class=""external free"">http://www.cs.wustl.edu/~schmidt/ACE-copying.html</a> ",
"Docbook MIT License            ","   DMIT         ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/DMIT"" class=""external free"">https://fedoraproject.org/wiki/Licensing/DMIT</a> ",
"Dotseqn License                ","   Dotseqn      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Dotseqn"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Dotseqn</a> ",
"DSDP License                   ","   DSDP         ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/DSDP"" class=""external free"">https://fedoraproject.org/wiki/Licensing/DSDP</a> ",
"dvipdfm License                ","   dvipdfm      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/dvipdfm"" class=""external free"">https://fedoraproject.org/wiki/Licensing/dvipdfm</a> ",
"Eclipse Distribution License 1.0 "," BSD          ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.eclipse.org/org/documents/edl-v10.php"" class=""external free"">http://www.eclipse.org/org/documents/edl-v10.php</a> ",
"Eclipse Public License 1.0     ","   EPL          ","   Yes         ","NO           ","                   ","<a href=""http://www.eclipse.org/legal/epl-v10.html"" class=""external free"">http://www.eclipse.org/legal/epl-v10.html</a> ",
"eCos License v2.0              ","   eCos         ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.fsf.org/licensing/licenses/ecos-license.html"" class=""external free"">http://www.fsf.org/licensing/licenses/ecos-license.html</a> ",
"Educational Community License 1.0"," ECL 1.0      ","   Yes         ","Yes                ","Yes                ","<a href=""http://opensource.org/licenses/ecl1.php"" class=""external free"">http://opensource.org/licenses/ecl1.php</a> ",
"Educational Community License 2.0"," ECL 2.0      ","   Yes         ","NO           ","Yes                ","<a href=""http://www.osedu.org/licenses/ECL-2.0/"" class=""external free"">http://www.osedu.org/licenses/ECL-2.0/</a> ",
"eGenix.com Public License 1.1.0 "," eGenix        ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/eGenix.com_Public_License_1.1.0"" class=""external free"">https://fedoraproject.org/wiki/Licensing/eGenix.com_Public_License_1.1.0</a> ",
"Eiffel Forum License 2.0       ","   EFL 2.0      ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.fsf.org/licensing/licenses/eiffel-forum-license-2.html"" class=""external free"">http://www.fsf.org/licensing/licenses/eiffel-forum-license-2.html</a> ",
"enna License                   ","   MIT          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/MIT#enna"" class=""external free"">https://fedoraproject.org/wiki/Licensing/MIT#enna</a> ",
"Enlightenment License (e16)    ","   MIT with advertising "," Yes   ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/MIT_With_Advertising"" class=""external free"">https://fedoraproject.org/wiki/Licensing/MIT_With_Advertising</a> ",
"Entessa Public License         ","   Entessa      ","   Yes         ","NO           ","NO           ","<a href=""http://opensource.org/licenses/entessa.php"" class=""external free"">http://opensource.org/licenses/entessa.php</a> ",
"EPICS Open License             ","   EPICS        ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.aps.anl.gov/epics/license/open.php"" class=""external free"">http://www.aps.anl.gov/epics/license/open.php</a> ",
"Erlang Public License 1.1      ","   ERPL         ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/ErlangPublicLicense"" class=""external free"">https://fedoraproject.org/wiki/Licensing/ErlangPublicLicense</a> ",
"EU Datagrid Software License   ","   EU Datagrid  ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.opensource.org/licenses/eudatagrid.php"" class=""external free"">http://www.opensource.org/licenses/eudatagrid.php</a> ",
"European Union Public License 1.1 ","EUPL 1.1     ","   Yes         ","Yes                ","NO           ","<a href=""http://ec.europa.eu/idabc/en/document/7774.html"" class=""external free"">http://ec.europa.eu/idabc/en/document/7774.html</a> ",
"Eurosym License                ","   Eurosym      ","   Yes         ","NO           ","NO           ","<a href=""https://fedoraproject.org/wiki/Licensing/Eurosym"" class=""external free"">https://fedoraproject.org/wiki/Licensing/Eurosym</a> ",
"Fedora Directory Server License","   GPLv2 with exceptions "," Yes  ","Yes                ","Yes                ","<a href=""http://directory.fedoraproject.org/wiki/GPL_Exception_License_Text"" class=""external free"">http://directory.fedoraproject.org/wiki/GPL_Exception_License_Text</a> ",
"Fair License                   ","   Fair         ","   Yes         ","Yes                ","Yes                ","<a href=""http://opensource.org/licenses/fair.php"" class=""external free"">http://opensource.org/licenses/fair.php</a> ",
"feh License                    ","   MIT          ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/MIT#feh"" class=""external free"">https://fedoraproject.org/wiki/Licensing/MIT#feh</a> ",
"FLTK License                   ","   LGPLv2 with exceptions "," Yes ","Yes                ","Yes                ","<a href=""http://www.fltk.org/COPYING.php"" class=""external free"">http://www.fltk.org/COPYING.php</a> ",
"FreeImage Public License       ","   MPLv1.0      ","   Yes         ","NO           ","NO           ","<a href=""http://freeimage.sourceforge.net/freeimage-license.txt"" class=""external free"">http://freeimage.sourceforge.net/freeimage-license.txt</a> ",
"Freetype License               ","   FTL          ","   Yes         ","NO           ","Yes                ","<a href=""http://freetype.fis.uniroma2.it/FTL.TXT"" class=""external free"">http://freetype.fis.uniroma2.it/FTL.TXT</a> ",
"FSF Unlimited License          ","   FSFUL        ","   Yes         ","Yes                ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License"" class=""external free"">https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License</a> ",
"FSF Unlimited License (with License Retention) "," FSFULLR     "," Yes  "," Yes           ","Yes                ","<a href=""https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant"" class=""external free"">https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant</a> ",
"Giftware License               ","   Giftware     ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.talula.demon.co.uk/allegro/license.html"" class=""external free"">http://www.talula.demon.co.uk/allegro/license.html</a> ",
"GL2PS License                  ","   GL2PS        ","   Yes         ","Yes                ","Yes                ","<a href=""http://www.geuz.org/gl2ps/COPYING.GL2PS"" class=""external free"">http://www.geuz.org/gl2ps/COPYING.GL2PS</a> ",
